idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승배당,연승배당,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money_log
12216,0,엠제이파워,0.254200542,0.249026395,0.269046439,52.0,김용근,514,12.6,2.0,1등급,1200M,20201115,20050504,5,3,2,16,10,0.625,750,622,535,4737,1907,0.4026,0,19.668588615515525
12217,1,엠제이포인트,0.254200542,0.23702337,0.269046439,52.5,함완식,459,8.3,2.4,혼4등급,1200M,20220828,19980615,0,2,4,19,6,0.3158,793,806,732,6238,2331,0.3737,0,19.447782899057586
12218,0,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,김정준,468,11.6,2.8,혼4등급,1400M,20220813,20100609,0,2,4,18,6,0.3333,186,234,238,3031,658,0.2171,1,19.447782899057586
12219,0,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,송재철,456,5.8,2.2,혼4등급,1200M,20220717,20130601,0,2,4,17,6,0.3529,260,302,303,3282,865,0.2636,1,19.447782899057586
12220,1,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,서승운,454,4.7,1.4,혼4등급,1400M,20220528,20110824,0,1,4,16,5,0.3125,609,534,481,3913,1624,0.415,0,19.447782899057586
12221,0,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,박현우,454,15.7,2.8,혼4등급,1200M,20220423,20120607,0,1,4,15,5,0.3333,117,114,125,1889,356,0.1885,1,19.447782899057586
12222,0,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,송재철,444,20.4,4.6,혼4등급,1200M,20220227,20130601,0,1,4,14,5,0.3571,240,280,278,3078,798,0.2593,0,19.447782899057586
12223,1,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,박현우,451,49.0,7.3,혼4등급,1400M,20220122,20120607,0,0,4,13,4,0.3077,114,112,120,1824,346,0.1897,0,19.447782899057586
12224,0,엠제이포인트,0.254200542,0.23702337,0.269046439,52.0,송재철,452,16.7,2.5,혼4등급,1200M,20220109,20130601,0,0,4,12,4,0.3333,237,275,272,3030,784,0.2587,1,19.447782899057586
12225,1,엠제이포인트,0.254200542,0.23702337,0.304899931,51.5,유현명,446,23.2,3.9,혼4등급,1400M,20211128,20020913,0,0,3,11,3,0.2727,1189,933,743,7043,2865,0.4068,-1,19.447782899057586
