idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승,연승,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money
0,0,가가나,한,수,4세,54,정정희,528,110.2,30.9,국5등급,1200M,20211128,2014-06-05,1,1,2,16,4,0.25,84,98,109,1556,291,0.187,0,143496000
1,0,가가나,한,수,4세,54.5,다비드,535,82.6,19.4,국5등급,1200M,20211009,2017-12-01,1,1,2,15,4,0.2667,97,129,118,1412,344,0.2436,1,143496000
2,0,가가나,한,수,4세,55.5,다비드,533,52.3,8.9,국5등급,1300M,20210807,2017-12-01,1,1,2,14,4,0.2857,93,124,110,1348,327,0.2426,1,143496000
3,0,가가나,한,수,4세,55,다비드,530,6.6,3.7,국5등급,1200M,20210620,2017-12-01,1,1,2,13,4,0.3077,91,117,109,1312,317,0.2416,0,143496000
4,0,가가나,한,수,4세,55,다비드,536,4.9,2.2,국5등급,1400M,20210515,2017-12-01,1,1,2,12,4,0.3333,89,113,107,1277,309,0.242,0,143496000
5,1,가가나,한,수,4세,55,다비드,536,8.7,4.1,국5등급,1200M,20210410,2017-12-01,1,1,1,11,3,0.2727,89,110,103,1244,302,0.2428,0,143496000
6,0,가가나,한,수,4세,55.5,다비드,537,131.1,19.6,국5등급,1400M,20210228,2017-12-01,1,1,1,10,3,0.3,89,108,103,1212,300,0.2475,0,143496000
7,0,가가나,한,수,3세,57,김덕현,543,70.3,15.4,국5등급,1400M,20201205,2017-06-02,1,1,1,9,3,0.3333,49,38,31,360,118,0.3278,1,143496000
8,0,가가나,한,수,3세,57,김덕현,532,3.9,1.4,국5등급,1400M,20201016,2017-06-02,1,1,1,8,3,0.375,48,38,29,332,115,0.3464,1,143496000
9,0,가기만고당,한,거,3세,52,이상규,464,23.9,5.6,국6등급,1300M,20220820,2022-07-01,0,0,1,4,1,0.25,0,1,2,34,3,0.0882,1,484394694
10,0,가기만고당,한,거,3세,56,하정훈,455,40,3.5,국6등급,1200M,20220625,2015-06-18,0,0,1,3,1,0.3333,67,94,105,1513,266,0.1758,1,484394694
11,0,가기만고당,한,거,3세,56,하정훈,452,7.3,2.2,국6등급,1200M,20220528,2015-06-18,0,0,1,2,1,0.5,67,94,105,1503,266,0.177,0,484394694
12,1,가기만고당,한,거,3세,56,하정훈,453,97.7,9.2,국6등급,1200M,20220423,2015-06-18,0,0,0,1,0,0,64,93,104,1488,261,0.1754,-1,484394694
13,0,가기만고당,한,거,3세,56,하정훈,467,76.6,8,국6등급,1200M,20220402,2015-06-18,0,0,0,0,0,0,63,93,103,1479,259,0.1751,0,484394694
14,0,가나파크,한,암,4세,52,먼로,481,17.3,2.4,국4등급,1200M,20211127,2019-02-01,2,1,1,7,4,0.5714,106,124,105,925,335,0.3622,0,356535095.5
15,0,가나파크,한,암,4세,51,임다빈,484,84.1,45,국4등급,1200M,20211024,2020-07-17,2,1,1,6,4,0.6667,33,30,35,418,98,0.2344,-1,356535095.5
16,0,가나파크,한,암,4세,51,다비드,497,231.5,45,국4등급,1200M,20210919,2017-12-01,2,1,1,5,4,0.8,96,129,117,1405,342,0.2434,1,356535095.5
17,1,가나파크,한,암,3세,53,임기원,490,13.3,3.9,국5등급,1300M,20201122,2013-06-19,1,1,1,4,3,0.75,324,247,271,2402,842,0.3505,0,356535095.5
18,0,가나파크,한,암,3세,51,임다빈,496,12.8,4.3,국5등급,1200M,20201016,2020-07-17,1,1,1,3,3,1,2,3,8,80,13,0.1625,0,356535095.5
19,1,가나패션,한,암,3세,52.5,장추열,468,2.9,1.3,국5등급,1200M,20220813,2010-06-09,0,3,1,4,4,1,355,372,384,3552,1111,0.3128,1,370977227
20,1,가나패션,한,암,3세,52,다비드,462,3.9,2,국5등급,1300M,20220710,2017-12-01,0,3,0,3,3,1,129,151,144,1667,424,0.2543,1,370977227
21,1,가나패션,한,암,3세,54,다비드,459,3.9,1.5,국6등급,1200M,20220611,2017-12-01,0,2,0,2,2,1,128,148,143,1648,419,0.2542,0,370977227
22,1,가나패션,한,암,3세,54,다비드,460,12.2,2.5,국6등급,1200M,20220515,2017-12-01,0,1,0,1,1,1,125,146,142,1626,413,0.254,0,370977227
23,1,가로수길,한,수,6세,54,다비드,490,10.4,2.7,2등급,2000M,20220820,2017-12-01,4,3,0,12,7,0.5833,130,154,148,1693,432,0.2552,1,303418877.5
24,0,가로수길,한,수,6세,52,다비드,487,5.1,1.4,2등급,1400M,20220604,2017-12-01,4,3,0,11,7,0.6364,127,148,142,1640,417,0.2543,0,303418877.5
25,0,가로수길,한,수,6세,56,다비드,489,19.6,3.3,2등급,1800M,20220430,2017-12-01,4,3,0,10,7,0.7,124,145,140,1613,409,0.2536,0,303418877.5
26,1,가로수길,한,수,6세,57,다비드,494,3.9,1.4,국3등급,1800M,20220312,2017-12-01,4,2,0,9,6,0.6667,120,140,135,1568,395,0.2519,1,303418877.5
27,1,가로수길,한,수,5세,56,다비드,489,1.9,3,국3등급,1800M,20210919,2017-12-01,4,1,0,8,5,0.625,95,128,117,1402,340,0.2425,0,303418877.5
28,1,가로수길,한,수,5세,51,다비드,490,9999.9,9999.9,국3등급,1800M,20210821,2017-12-01,3,1,0,7,4,0.5714,94,124,112,1371,330,0.2407,1,303418877.5
29,1,가로수길,한,수,4세,55,다비드,488,4.4,1.5,국4등급,1700M,20201121,2017-12-01,2,1,0,6,3,0.5,87,104,92,1136,283,0.2491,0,303418877.5
30,0,가야영봉,호,수,4세,54,신형철,470,284.8,17.3,혼4등급,1400M,20201122,1988-04-01,0,0,0,7,0,0,747,790,735,7124,2272,0.3189,-1,1325214650
31,0,가야영봉,호,수,4세,54,방춘식,483,17.6,6.7,혼4등급,1400M,20201016,1990-06-01,0,0,0,6,0,0,369,373,413,4768,1155,0.2422,1,1325214650
32,0,가온매직,미,수,4세,52,최범현,493,232.9,9.4,혼4등급,1400M,20210404,2001-07-06,0,0,0,3,0,0,820,767,697,6596,2284,0.3463,1,1391356783
33,0,가온찬,한,암,3세,54,장추열,434,65.3,12.4,국6등급,1300M,20201108,2010-06-09,0,0,0,3,0,0,274,297,315,2896,886,0.3059,1,580405293.5
34,0,가온챔프,한,수,6세,58,임기원,496,26.6,2.9,1등급,1800M,20210704,2013-06-19,9,3,2,19,14,0.7368,354,269,286,2567,909,0.3541,0,1079067446
35,0,가온챔프,한,수,6세,59,임기원,498,21.5,20.4,1등급,1800M,20210411,2013-06-19,9,3,2,18,14,0.7778,337,258,281,2488,876,0.3521,1,1079067446
36,0,가온챔프,한,수,6세,59,임기원,497,9999.9,3.7,1등급,2000M,20210129,2013-06-19,9,3,2,17,14,0.8235,329,252,277,2449,858,0.3503,1,1079067446
37,1,가온챔프,한,수,5세,59,임기원,494,4.3,1.6,1등급,1200M,20201115,2013-06-19,9,2,2,16,13,0.8125,323,244,271,2390,838,0.3506,0,1079067446
38,0,가온포스,한,거,5세,57,조한별,483,85.1,9,국3등급,1800M,20211211,2013-06-01,5,3,1,25,9,0.36,55,106,108,1608,269,0.1673,0,234257235.5
39,0,가온포스,한,거,5세,56,조한별,489,82,21.3,국3등급,1400M,20211106,2013-06-01,5,3,1,24,9,0.375,54,106,108,1581,268,0.1695,0,234257235.5
40,0,가온포스,한,거,5세,56.5,정정희,492,103.1,10.1,국3등급,1400M,20211009,2014-06-05,5,3,1,23,9,0.3913,83,96,107,1528,286,0.1872,1,234257235.5
41,0,가온포스,한,거,5세,58,정정희,489,52.4,7.6,국3등급,1400M,20210911,2014-06-05,5,3,1,22,9,0.4091,83,95,107,1506,285,0.1892,0,234257235.5
42,0,가온포스,한,거,5세,57.5,신형철,495,92.9,5.5,국3등급,1800M,20210425,1988-04-01,5,3,1,21,9,0.4286,753,796,740,7206,2289,0.3177,1,234257235.5
43,0,가온포스,한,거,5세,58,김용근,491,46.7,3.1,국3등급,1200M,20210321,2005-05-04,5,3,1,20,9,0.45,762,628,541,4804,1931,0.402,1,234257235.5
44,0,가온포스,한,거,5세,58,먼로,489,9999.9,5.6,국3등급,1400M,20210129,2019-02-01,5,3,1,19,9,0.4737,74,91,79,657,244,0.3714,0,234257235.5
45,1,가온포스,한,거,4세,57,문세영,493,7.6,1.9,국3등급,1400M,20201206,2001-07-06,5,2,1,18,8,0.4444,1650,1256,961,8003,3867,0.4832,0,234257235.5
46,0,가온포스,한,거,4세,57,문세영,501,9999.9,9999.9,국3등급,1400M,20201023,2001-07-06,5,2,1,17,8,0.4706,1638,1247,960,7959,3845,0.4831,1,234257235.5
47,0,가을의전설,호,수,7세,54,이철경,471,9999.9,9999.9,1등급,1400M,20201212,2016-06-18,6,1,4,33,11,0.3333,64,71,69,839,204,0.2431,1,588333517.5
48,0,가을의전설,호,수,7세,55,조상범,468,685.3,76.1,1등급,1800M,20201108,2014-06-05,6,1,4,32,11,0.3438,54,90,96,1089,240,0.2204,-1,588333517.5
49,0,가자플랜,한,암,4세,54,빅투아르,456,8,1.3,국5등급,1200M,20210904,2017-07-05,1,2,0,11,3,0.2727,159,166,170,1529,495,0.3237,0,111007602.5
50,0,가자플랜,한,암,4세,53.5,임다빈,456,19.8,10.5,국5등급,1200M,20210808,2020-07-17,1,2,0,10,3,0.3,29,26,30,338,85,0.2515,1,111007602.5
51,0,가자플랜,한,암,4세,55,빅투아르,455,6.1,2.3,국5등급,1200M,20210620,2017-07-05,1,2,0,9,3,0.3333,154,159,165,1469,478,0.3254,0,111007602.5
52,0,가자플랜,한,암,4세,55,이혁,456,4.2,1.6,국5등급,1200M,20210515,2011-08-24,1,2,0,8,3,0.375,343,314,318,3930,975,0.2481,0,111007602.5
53,1,가자플랜,한,암,4세,54,이혁,460,26.8,3.3,국5등급,1200M,20210410,2011-08-24,1,1,0,7,2,0.2857,337,305,312,3890,954,0.2452,0,111007602.5
54,0,가자플랜,한,암,4세,54.5,김동수,463,17.8,6.2,국5등급,1200M,20210307,2014-06-05,1,1,0,6,2,0.3333,248,263,285,2674,796,0.2977,1,111007602.5
55,0,가자플랜,한,암,3세,55,신형철,459,6.3,13.3,국5등급,1200M,20201128,1988-04-01,1,1,0,5,2,0.4,747,790,735,7126,2272,0.3188,-1,111007602.5
56,0,가즈아,한,수,5세,52,김옥성,477,105.4,46,국5등급,1400M,20210228,1987-04-01,1,0,2,21,3,0.1429,538,635,734,8209,1907,0.2323,0,672002893.5
57,0,가즈아,한,수,4세,55,김옥성,478,67.9,10.6,국5등급,1400M,20201121,1987-04-01,1,0,2,20,3,0.15,537,635,732,8170,1904,0.233,1,672002893.5
58,0,가즈아,한,수,4세,55,김옥성,474,98.7,23.4,국5등급,1400M,20201101,1987-04-01,1,0,2,19,3,0.1579,537,634,731,8152,1902,0.2333,0,672002893.5
59,0,갈색향기,한,암,3세,52,임다빈,481,40.2,6.8,국5등급,1200M,20220813,2020-07-17,0,2,1,9,3,0.3333,56,58,66,767,180,0.2347,1,1030092007
60,0,갈색향기,한,암,3세,52,김동수,466,5.2,2.6,국5등급,1200M,20220710,2014-06-05,0,2,1,8,3,0.375,279,295,321,3056,895,0.2929,0,1030092007
61,1,갈색향기,한,암,3세,54,유승완,473,3.3,1.4,국6등급,1300M,20220508,2007-06-01,0,1,1,7,2,0.2857,419,376,448,4806,1243,0.2586,1,1030092007
62,1,갈색향기,한,암,3세,54,김동수,465,4.2,1.4,국6등급,1400M,20220319,2014-06-05,0,0,1,6,1,0.1667,264,286,307,2956,857,0.2899,0,1030092007
63,0,갈색향기,한,암,3세,54,빅투아르,469,2.2,1.3,국6등급,1300M,20220220,2017-07-05,0,0,1,5,1,0.2,169,178,184,1660,531,0.3199,1,1030092007
64,0,갈색향기,한,암,2세,53,김동수,468,3.1,1.4,국6등급,1300M,20211219,2014-06-05,0,0,1,4,1,0.25,263,281,303,2912,847,0.2909,0,1030092007
65,1,갈색향기,한,암,2세,53,빅투아르,468,13.9,2.8,국6등급,1200M,20211120,2017-07-05,0,0,0,3,0,0,162,175,176,1601,513,0.3204,1,1030092007
66,0,갈색향기,한,암,2세,53,송재철,459,9999.9,1.5,국6등급,1000M,20210828,2013-06-01,0,0,0,2,0,0,217,256,259,2825,732,0.2591,-1,1030092007
67,0,갈색향기,한,암,2세,53,조상범,473,58.9,5.8,국6등급,1000M,20210807,2014-06-05,0,0,0,1,0,0,61,106,113,1352,280,0.2071,1,1030092007
68,0,감곡선샤인,한,암,3세,54,김태훈,480,73,10.7,국6등급,1400M,20220730,2013-06-01,1,0,0,5,1,0.2,63,79,86,1119,228,0.2038,1,610187520
69,0,감곡선샤인,한,암,3세,53,임다빈,474,119.6,22.5,국6등급,1000M,20220116,2020-07-17,1,0,0,4,1,0.25,37,36,42,513,115,0.2242,-1,610187520
70,0,감곡선샤인,한,암,2세,53,문성혁,487,121.5,29,국6등급,1200M,20211120,2018-06-15,1,0,0,3,1,0.3333,66,59,63,729,188,0.2579,0,610187520
71,0,감곡선샤인,한,암,2세,53,송경윤,492,61.6,18.1,국6등급,1000M,20211024,2007-05-18,1,0,0,2,1,0.5,353,445,452,4696,1250,0.2662,0,610187520
72,1,갑오사랑해,한,암,4세,54,김효정,451,7.5,2.3,국6등급,1300M,20211204,2017-06-02,0,0,1,15,1,0.0667,50,64,79,1099,193,0.1756,1,918963414
73,0,갑오사랑해,한,암,4세,54,김효정,450,36.8,11,국6등급,1300M,20211113,2017-06-02,0,0,1,14,1,0.0714,50,63,79,1079,192,0.1779,1,918963414
74,0,갑오사랑해,한,암,4세,50,김아현,439,19.5,6.7,국6등급,1300M,20210919,2020-07-17,0,0,1,13,1,0.0769,8,24,16,313,48,0.1534,1,918963414
75,0,갑오사랑해,한,암,4세,50,김아현,436,6.7,5.9,국6등급,1300M,20210821,2020-07-17,0,0,1,12,1,0.0833,8,20,16,286,44,0.1538,-1,918963414
76,0,갑오사랑해,한,암,4세,54,박을운,454,9.5,5.3,국6등급,1300M,20210725,1998-06-15,0,0,1,11,1,0.0909,426,412,359,3594,1197,0.3331,1,918963414
77,0,갑오사랑해,한,암,4세,54,박을운,446,4.9,1.4,국6등급,1300M,20210620,1998-06-15,0,0,1,10,1,0.1,423,408,353,3553,1184,0.3332,0,918963414
78,0,갑오사랑해,한,암,4세,54,박을운,449,56,5,국6등급,1200M,20210529,1998-06-15,0,0,1,9,1,0.1111,419,407,352,3530,1178,0.3337,1,918963414
79,0,갑오사랑해,한,암,4세,54,부민호,444,12.2,2.8,국6등급,1200M,20210508,2007-06-01,0,0,1,8,1,0.125,123,116,140,1790,379,0.2117,0,918963414
80,0,갑오사랑해,한,암,4세,55,부민호,446,28.5,2.4,국6등급,1200M,20210410,2007-06-01,0,0,1,7,1,0.1429,123,116,137,1777,376,0.2116,1,918963414
81,0,갑오사랑해,한,암,4세,55,부민호,443,83.6,11.4,국6등급,1200M,20210307,2007-06-01,0,0,1,6,1,0.1667,123,116,136,1771,375,0.2117,1,918963414
82,0,갑오사랑해,한,암,3세,54,우에다,432,11.3,2,국6등급,1200M,20201114,2020-04-01,0,0,1,5,1,0.2,2,1,2,37,5,0.1351,1,918963414
83,0,갑오풀퀸,한,암,5세,52,박을운,430,45.2,4.4,국4등급,1700M,20210619,1998-06-15,1,2,3,14,6,0.4286,422,408,353,3550,1183,0.3332,1,1922135749
84,0,갑오풀퀸,한,암,5세,52,조상범,417,115.4,17.1,국4등급,1800M,20210410,2014-06-05,1,2,3,13,6,0.4615,58,97,102,1229,257,0.2091,1,1922135749
85,0,갑오풀퀸,한,암,5세,52,조상범,399,108.2,10.9,국4등급,1700M,20210228,2014-06-05,1,2,3,12,6,0.5,57,95,100,1182,252,0.2132,0,1922135749
86,0,갑오풀퀸,한,암,5세,52,조상범,408,137.6,19.7,국4등급,1400M,20210108,2014-06-05,1,2,3,11,6,0.5455,55,92,98,1140,245,0.2149,-1,1922135749
87,1,갑오풀퀸,한,암,4세,55,박을운,423,2.8,1.5,국5등급,1700M,20201122,1998-06-15,1,2,2,10,5,0.5,409,393,343,3389,1145,0.3379,0,1922135749
88,0,갓오브삭스,한,수,5세,53.5,조상범,474,789.9,18.4,국5등급,1400M,20210523,2014-06-05,1,2,1,24,4,0.1667,61,100,109,1286,270,0.21,0,225902496
89,0,갓오브삭스,한,수,5세,54,박병윤,475,117.3,49.5,국5등급,1400M,20210221,2008-06-18,1,2,1,23,4,0.1739,155,185,195,2445,535,0.2188,0,225902496
90,0,갓오브삭스,한,수,4세,56,안효리,479,9999.9,9999.9,국5등급,1200M,20201219,2012-06-07,1,2,1,22,4,0.1818,78,81,100,1605,259,0.1614,1,225902496
91,0,갓오브삭스,한,수,4세,56,박을운,472,78.6,11.9,국5등급,1400M,20201108,1998-06-15,1,2,1,21,4,0.1905,408,391,340,3377,1139,0.3373,0,225902496
92,0,강남맨,미,거,4세,52,지하주,438,179.5,19,혼4등급,1400M,20211113,1995-07-01,0,0,2,9,2,0.2222,263,277,305,3467,845,0.2437,-1,435100380
93,0,강남맨,미,거,4세,55,장추열,451,54.9,9.3,혼4등급,1700M,20211031,2010-06-09,0,0,2,8,2,0.25,318,328,352,3220,998,0.3099,1,435100380
94,0,강남맨,미,거,4세,53.5,박현우,433,9999.9,9999.9,혼4등급,1200M,20210814,2012-06-07,0,0,2,7,2,0.2857,111,106,108,1730,325,0.1879,1,435100380
95,0,강남맨,미,수,4세,53,박을운,430,644.4,38.1,혼4등급,1400M,20210314,1998-06-15,0,0,2,6,2,0.3333,413,402,348,3464,1163,0.3357,1,435100380
96,0,강남맨,미,수,4세,55,이혁,422,9999.9,9999.9,혼4등급,1400M,20210115,2011-08-24,0,0,2,5,2,0.4,328,297,304,3807,929,0.244,-1,435100380
97,0,강남맨,미,수,3세,55,이혁,446,19.7,1.7,혼4등급,1400M,20201114,2011-08-24,0,0,2,4,2,0.5,322,293,296,3743,911,0.2434,1,435100380
98,0,강력한지금,한,수,2세,53.5,함완식,486,1.6,1.1,국5등급,1300M,20220903,1998-06-15,1,1,0,5,2,0.4,793,806,733,6239,2332,0.3738,0,1007923800
99,1,강력한지금,한,수,2세,54.5,함완식,487,15.7,2.7,국6등급,1400M,20220730,1998-06-15,0,1,0,4,1,0.25,789,804,727,6208,2320,0.3737,1,1007923800
100,0,강력한지금,한,수,2세,55,김태훈,479,23.9,4.1,국6등급,1000M,20220625,2013-06-01,0,1,0,3,1,0.3333,62,79,85,1105,226,0.2045,0,1007923800
101,0,강력한지금,한,수,2세,55,조상범,480,48.3,3.9,국6등급,1000M,20220528,2014-06-05,0,1,0,2,1,0.5,68,129,129,1637,326,0.1991,0,1007923800
102,0,강서돌풍,한,수,3세,56,이동하,507,131.3,16.9,국6등급,1200M,20220820,2016-06-18,0,0,0,2,0,0,122,147,157,1577,426,0.2701,0,1084408420
103,0,강서돌풍,한,수,3세,52,오수철,515,67.5,11.3,국6등급,1200M,20220730,2022-07-01,0,0,0,1,0,0,5,5,5,48,15,0.3125,0,1084408420
104,0,강서돌풍,한,수,3세,56,장추열,517,57.8,8.2,국6등급,1200M,20220702,2010-06-09,0,0,0,0,0,0,349,363,380,3520,1092,0.3102,1,1084408420
105,1,강서프린세스,한,암,4세,52,송재철,505,10.8,2.9,국4등급,1200M,20220716,2013-06-01,2,1,1,11,4,0.3636,258,302,302,3277,862,0.263,0,462355231
106,0,강서프린세스,한,암,4세,54,이혁,512,11,3,국4등급,1200M,20220501,2011-08-24,2,1,1,10,4,0.4,385,347,347,4260,1079,0.2533,1,462355231
107,0,강서프린세스,한,암,4세,55,먼로,498,15,3.2,국OPEN,1400M,20220403,2019-02-01,2,1,1,9,4,0.4444,118,139,116,1062,373,0.3512,0,462355231
108,0,강서프린세스,한,암,4세,52,문성혁,499,25.8,4.2,국4등급,1400M,20220108,2018-06-15,2,1,1,8,4,0.5,72,62,66,777,200,0.2574,-1,462355231
109,0,강서프린세스,한,암,3세,53.5,먼로,510,1.7,1.1,국4등급,1200M,20211107,2019-02-01,2,1,1,7,4,0.5714,104,121,103,910,328,0.3604,0,462355231
110,1,강서프린세스,한,암,3세,52,먼로,515,6.1,2.4,국4등급,1200M,20211009,2019-02-01,2,1,0,6,3,0.5,101,115,98,868,314,0.3618,0,462355231
111,0,강서프린세스,한,암,3세,52,먼로,518,5.7,1.6,국4등급,1200M,20210919,2019-02-01,2,1,0,5,3,0.6,99,113,98,854,310,0.363,0,462355231
112,1,강서프린세스,한,암,3세,53.5,먼로,519,1.7,1,국5등급,1300M,20210815,2019-02-01,1,1,0,4,2,0.5,94,106,94,814,294,0.3612,0,462355231
113,0,강서프린세스,한,암,3세,53,안토니오,521,5.7,3.3,국5등급,1300M,20210717,2017-05-06,1,1,0,3,2,0.6667,239,214,173,1728,626,0.3623,0,462355231
114,1,강서프린세스,한,암,3세,54,안토니오,524,4.4,1.6,국6등급,1200M,20210619,2017-05-06,1,0,0,2,1,0.5,235,210,167,1698,612,0.3604,1,462355231
115,0,강서프린세스,한,암,3세,54.5,안토니오,520,1,1.2,국6등급,1200M,20210321,2017-05-06,1,0,0,1,1,1,222,198,152,1603,572,0.3568,1,462355231
116,1,강서프린세스,한,암,3세,54.5,안토니오,515,1.6,9999.9,국6등급,1000M,20210129,2017-05-06,0,0,0,0,0,0,217,193,152,1572,562,0.3575,-1,462355231
117,0,강성대국,한,수,7세,54,김동수,471,9999.9,9999.9,1등급,1400M,20201212,2014-06-05,7,4,5,42,16,0.381,245,259,284,2628,788,0.2998,1,2122493890
118,0,강성대국,한,수,7세,51,김동수,465,104.6,11.4,1등급,1400M,20201122,2014-06-05,7,4,5,41,16,0.3902,243,256,282,2606,781,0.2997,0,2122493890
119,0,강철다리,한,암,4세,54,이기회,468,39,10.7,국6등급,1200M,20210612,2004-06-02,0,0,0,8,0,0,118,157,193,3327,468,0.1407,0,356535095.5
120,0,강철다리,한,암,4세,54,이기회,469,2379.3,34.7,국6등급,1300M,20210501,2004-06-02,0,0,0,7,0,0,118,157,192,3322,467,0.1406,0,356535095.5
121,0,강철다리,한,암,4세,55,김옥성,469,735.4,24,국6등급,1200M,20210307,1987-04-01,0,0,0,6,0,0,538,635,734,8212,1907,0.2322,0,356535095.5
122,0,강철부대,한,수,3세,56,빅투아르,498,17.1,3.5,국6등급,1200M,20220827,2017-07-05,0,0,1,4,1,0.25,193,204,201,1816,598,0.3293,0,104185595.5
123,0,강철부대,한,수,3세,56,이혁,504,5,1.9,국6등급,1300M,20220724,2011-08-24,0,0,1,3,1,0.3333,398,359,358,4356,1115,0.256,0,104185595.5
124,0,강철부대,한,수,3세,56,이혁,509,11.6,2.6,국6등급,1200M,20220626,2011-08-24,0,0,1,2,1,0.5,395,353,353,4315,1101,0.2552,1,104185595.5
125,0,강철부대,한,수,3세,56,김태훈,503,7.5,1.7,국6등급,1200M,20220417,2013-06-01,0,0,1,1,1,1,62,79,84,1071,225,0.2101,1,104185595.5
126,0,강태풍,미,거,3세,52,문성혁,446,3.3,1.8,혼4등급,1200M,20210605,2018-06-15,0,0,0,0,0,0,48,45,49,602,142,0.2359,1,271021002.5
127,0,강토마,한,거,7세,58,장추열,510,43.2,9.1,1등급,1800M,20220828,2010-06-09,10,8,2,34,20,0.5882,358,377,388,3577,1123,0.314,1,2335437500
128,0,강토마,한,거,7세,58,박태종,502,12.4,2.4,1등급,1800M,20220521,1987-04-01,10,8,2,33,20,0.6061,2181,2013,1703,15012,5897,0.3928,1,2335437500
129,1,강토마,한,거,7세,52,김동수,495,3.2,1.2,1등급,1800M,20220410,2014-06-05,9,8,2,32,19,0.5938,265,291,313,2984,869,0.2912,0,2335437500
130,1,강토마,한,거,7세,51,김동수,500,7.8,2.3,1등급,1800M,20220313,2014-06-05,9,7,2,31,18,0.5806,264,285,307,2952,856,0.29,1,2335437500
131,0,강토마,한,거,7세,58,장추열,494,37,5.3,1등급,1800M,20220213,2010-06-09,9,7,2,30,18,0.6,330,341,365,3353,1036,0.309,1,2335437500
132,0,강토마,한,거,6세,56,장추열,493,20.8,3.9,1등급,1800M,20211218,2010-06-09,9,7,2,29,18,0.6207,322,333,358,3284,1013,0.3085,-1,2335437500
133,0,강토마,한,거,6세,57,장추열,504,10.2,3.8,1등급,1800M,20211031,2010-06-09,9,7,2,28,18,0.6429,318,328,352,3221,998,0.3098,1,2335437500
134,0,강토마,한,거,6세,58,장추열,501,7,5.5,1등급,1800M,20210808,2010-06-09,9,7,2,27,18,0.6667,307,317,341,3129,965,0.3084,1,2335437500
135,0,강토마,한,거,6세,54.5,장추열,498,9.9,2.2,1등급,2000M,20210613,2010-06-09,9,7,2,26,18,0.6923,296,313,333,3073,942,0.3065,1,2335437500
136,0,강토마,한,거,6세,55.5,장추열,493,2.5,1,1등급,1800M,20210411,2010-06-09,9,7,2,25,18,0.72,289,308,326,3008,923,0.3068,0,2335437500
137,1,강토마,한,거,6세,57.5,장추열,496,4.8,1.8,1등급,1400M,20210307,2010-06-09,9,7,1,24,17,0.7083,286,306,323,2990,915,0.306,0,2335437500
138,1,강토마,한,거,6세,57.5,장추열,498,4,9999.9,1등급,1800M,20210108,2010-06-09,8,7,1,23,16,0.6957,281,303,318,2942,902,0.3066,1,2335437500
139,1,강토마,한,거,5세,56,장추열,497,33.9,1.9,1등급,1800M,20201108,2010-06-09,8,6,1,22,15,0.6818,274,296,314,2891,884,0.3058,0,2335437500
140,0,강한여전사,한,암,4세,54,지하주,478,25.3,6.6,국6등급,1300M,20211113,1995-07-01,0,1,1,16,2,0.125,263,277,305,3466,845,0.2438,1,707472393.5
141,0,강한여전사,한,암,4세,54,지하주,477,18.6,2.8,국6등급,1300M,20211017,1995-07-01,0,1,1,15,2,0.1333,263,277,305,3463,845,0.244,0,707472393.5
142,1,강한여전사,한,암,4세,54,지하주,479,10.7,4.4,국6등급,1300M,20210912,1995-07-01,0,1,0,14,1,0.0714,263,277,304,3460,844,0.2439,1,707472393.5
143,0,강한여전사,한,암,4세,54,지하주,477,20.8,10.4,국6등급,1300M,20210814,1995-07-01,0,1,0,13,1,0.0769,263,277,304,3456,844,0.2442,1,707472393.5
144,0,강한여전사,한,암,4세,54,하정훈,468,70,5,국6등급,1300M,20210710,2015-06-18,0,1,0,12,1,0.0833,60,86,95,1356,241,0.1777,1,707472393.5
145,0,강한여전사,한,암,4세,54,하정훈,466,31.3,4.7,국6등급,1200M,20210530,2015-06-18,0,1,0,11,1,0.0909,59,85,94,1342,238,0.1773,1,707472393.5
146,0,강한여전사,한,암,4세,55,조상범,462,463.1,41.2,국6등급,1200M,20210424,2014-06-05,0,1,0,10,1,0.1,59,99,103,1247,261,0.2093,0,707472393.5
147,0,강한여전사,한,암,4세,55,하정훈,468,172.8,31.7,국6등급,1200M,20210410,2015-06-18,0,1,0,9,1,0.1111,59,85,93,1319,237,0.1797,1,707472393.5
148,0,강한여전사,한,암,4세,55,하정훈,467,454.1,64.3,국6등급,1200M,20210307,2015-06-18,0,1,0,8,1,0.125,58,85,93,1296,236,0.1821,0,707472393.5
149,0,강한여전사,한,암,3세,54,조상범,471,6.9,1.8,국6등급,1200M,20201122,2014-06-05,0,1,0,7,1,0.1429,54,91,97,1105,242,0.219,0,707472393.5
150,0,강한퀸,한,암,2세,53,이용호,478,167.7,35.6,국6등급,1000M,20220828,2015-06-17,0,0,1,1,1,1,61,68,82,1006,211,0.2097,1,622684694
151,0,강화처녀,한,암,4세,52,박태종,421,16.2,3,국5등급,1400M,20210919,1987-04-01,0,2,2,13,4,0.3077,2158,1996,1691,14853,5845,0.3935,-1,359738504
152,0,강화처녀,한,암,4세,52,이철경,435,9999.9,34.9,국5등급,1400M,20210822,2016-06-18,0,2,2,12,4,0.3333,76,89,81,996,246,0.247,1,359738504
