idx,연승,마명,산지,성별,연령,중량,기수명,마체중,단승,연승,grade,length,date,데뷔일자,경주마1등,경주마2등,경주마3등,경주마총전적,경주마3등이내횟수,경주마3등이내확률,기수1등,기수2등,기수3등,기수총전적,기수3등이내횟수,기수3등이내확률,마체중증감,money
18176,0,파이널참,한,수,3세,56,이용호,447,36.4,8.7,국6등급,1200M,20220129,2015-06-17,0,0,0,2,0,0,51,65,70,864,186,0.2153,1,191039315
18177,0,파이널참,한,수,2세,55,이용호,440,11.3,2.4,국6등급,1000M,20211225,2015-06-17,0,0,0,1,0,0,50,64,69,821,183,0.2229,-1,191039315
18178,0,파이널축제,한,수,2세,55,함완식,488,56.8,9.3,국6등급,1000M,20220821,1998-06-15,0,0,0,1,0,0,792,806,732,6229,2330,0.3741,0,345036803
18179,0,파이널칸지노,호,거,7세,52,조상범,493,36.3,7.3,혼3등급,1600M,20220821,2014-06-05,1,3,0,21,4,0.1905,69,135,131,1704,335,0.1966,1,508045560
18180,0,파이널칸지노,호,거,7세,52,이동하,491,9.6,2.8,혼3등급,1200M,20220731,2016-06-18,1,3,0,20,4,0.2,120,146,157,1562,423,0.2708,0,508045560
18181,0,파이널칸지노,호,거,7세,52,다비드,492,22.2,3.4,혼3등급,1200M,20220702,2017-12-01,1,3,0,19,4,0.2105,129,150,144,1661,423,0.2547,1,508045560
18182,0,파이널칸지노,호,거,7세,52,정정희,490,40.3,6.8,혼3등급,1200M,20220612,2014-06-05,1,3,0,18,4,0.2222,100,114,126,1755,340,0.1937,0,508045560
18183,0,파이널칸지노,호,거,7세,52,정정희,496,12.2,3.2,혼3등급,1400M,20220417,2014-06-05,1,3,0,17,4,0.2353,95,108,122,1688,325,0.1925,0,508045560
18184,0,파이널칸지노,호,거,7세,56,김용근,499,19.6,3.7,혼3등급,1400M,20220320,2005-05-04,1,3,0,16,4,0.25,812,675,581,5216,2068,0.3965,0,508045560
18185,0,파이널칸지노,호,거,7세,52,김용근,504,12.2,3.8,혼3등급,1200M,20220219,2005-05-04,1,3,0,15,4,0.2667,803,670,580,5160,2053,0.3979,0,508045560
18186,0,파이널칸지노,호,거,7세,52,정정희,509,36.1,5.4,혼3등급,1400M,20220115,2014-06-05,1,3,0,14,4,0.2857,85,99,111,1581,295,0.1866,1,508045560
18187,0,파이널칸지노,호,거,6세,52,정정희,503,33.7,4.3,혼3등급,1400M,20211127,2014-06-05,1,3,0,13,4,0.3077,84,97,109,1550,290,0.1871,1,508045560
18188,0,파이널칸지노,호,거,6세,51,다비드,499,11.9,3.7,혼3등급,1400M,20211016,2017-12-01,1,3,0,12,4,0.3333,98,130,118,1421,346,0.2435,1,508045560
18189,1,파이널칸지노,호,거,6세,57,정정희,497,9999.9,9999.9,혼4등급,1400M,20210904,2014-06-05,0,3,0,11,3,0.2727,82,94,107,1498,283,0.1889,0,508045560
18190,0,파이널칸지노,호,거,6세,56.5,정정희,498,5,1.6,혼4등급,1200M,20210808,2014-06-05,0,3,0,10,3,0.3,80,93,104,1474,277,0.1879,1,508045560
18191,1,파이널칸지노,호,거,6세,53.5,정정희,497,7.9,1.7,혼4등급,1200M,20210710,2014-06-05,0,2,0,9,2,0.2222,80,92,104,1466,276,0.1883,0,508045560
18192,1,파이널칸지노,호,거,6세,53,정정희,498,8.4,1.4,혼4등급,1200M,20210605,2014-06-05,0,1,0,8,1,0.125,78,90,104,1428,272,0.1905,0,508045560
18193,1,파이어걸,미,암,2세,52,박을운,482,7,2.9,혼4등급,1200M,20220828,1998-06-15,1,0,0,1,1,1,455,440,387,3920,1282,0.327,1,1067407681
18194,0,파이어로드,한,수,3세,54,이현종,500,6.6,1.9,국4등급,1400M,20211218,2015-06-18,3,1,1,9,5,0.5556,178,149,165,1446,492,0.3402,0,501404327
18195,1,파이어로드,한,수,3세,52,지하주,501,11.1,3.4,국4등급,1400M,20211114,1995-07-01,3,0,1,8,4,0.5,263,277,305,3470,845,0.2435,0,501404327
18196,0,파이어로드,한,수,3세,54,김정준,507,8.7,2.4,국4등급,1800M,20211010,2010-06-09,3,0,1,7,4,0.5714,161,209,210,2713,580,0.2138,1,501404327
18197,0,파이어로드,한,수,3세,54,김정준,492,9999.9,9999.9,국4등급,1700M,20210829,2010-06-09,3,0,1,6,4,0.6667,158,208,208,2672,574,0.2148,0,501404327
18198,0,파이어로드,한,수,3세,54,김정준,492,7,2,국4등급,1800M,20210718,2010-06-09,3,0,1,5,4,0.8,156,206,203,2638,565,0.2142,1,501404327
18199,0,파이어로드,한,수,3세,53,김정준,485,5.4,1.8,국4등급,1400M,20210612,2010-06-09,3,0,1,4,4,1,154,202,201,2604,557,0.2139,-1,501404327
18200,1,파이어로드,한,수,3세,54.5,김정준,499,8.8,2.5,국5등급,1400M,20210328,2010-06-09,2,0,1,3,3,1,149,193,195,2531,537,0.2122,1,501404327
18201,1,파이어로드,한,수,3세,56.5,김정준,494,10.7,1,국6등급,1700M,20210205,2010-06-09,1,0,1,2,2,1,144,190,192,2493,526,0.211,0,501404327
18202,1,파이어로드,한,수,2세,55,김정준,498,9999.9,9999.9,국6등급,1200M,20201219,2010-06-09,0,0,1,1,1,1,143,189,191,2458,523,0.2128,1,501404327
18203,1,파이어로드,한,수,2세,55,김정준,494,114.1,25.7,국6등급,1000M,20201114,2010-06-09,0,0,0,0,0,0,141,188,185,2419,514,0.2125,1,501404327
18204,1,파이어하트,한,수,5세,56,이철경,495,11.7,2.2,혼4등급,1700M,20220108,2016-06-18,3,0,0,7,3,0.4286,85,96,87,1092,268,0.2454,1,970911375
18205,0,파이어하트,한,수,4세,55.5,이용호,492,47.7,9,국4등급,1400M,20211204,2015-06-17,3,0,0,6,3,0.5,49,61,68,801,178,0.2222,0,970911375
